2025-04-15 20:20:25.245959 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:25.775659 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:25.899879 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:26.014923 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:26.117368 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:26.223468 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:26.326078 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:26.429821 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:26.536492 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:26.642933 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:26.748675 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:26.849539 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:26.954817 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:27.059681 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:27.162147 | 34.117.59.81 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_34.117.59.81_20250415
2025-04-15 20:20:27.267624 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
2025-04-15 20:20:27.378749 | 192.168.0.6 | FW_BLOCKED | Added firewall rule NETMON_BLOCK_192.168.0.6_20250415
